date,ticker,sector,type,leftlead,trr_open,intraweekly,intramonthly,openweekly,openmonthly,size,additional,discountfromlast,adtv,secondary,biotech,fut
3/21/17,AXSM,7,2,43,-0.024064,0.141791,0.195162,0.637686,1.346942,0.016100001,0.163451,-0.15,48.34,0.00,1.00,-0.013369
3/21/17,CALA,7,1,66,0.068293,0.141791,0.195162,0.637686,1.346942,0.080508625,0.241072,-0.028436,7.19,0.00,1.00,-0.063415
3/21/17,GBDC,6,2,57,-0.039523,0.141791,0.195162,0.637686,1.346942,0.038297875,0.030709,-0.020082,6.38,0.00,0.00,-0.004484
3/22/17,AMH,9,3,35,0.004825,0.120858,0.12419,0.382872,1.263561,0.28842,0.042867,-0.018511,4.88,0.00,0.00,0.025877
3/22/17,OEC,1,2,31,0.021333,0.120858,0.12419,0.382872,1.263561,0.1078125,0.084288,-0.111374,36.27,1.00,0.00,-0.010666
3/22/17,TMHC,3,3,23,0.002857,0.120858,0.12419,0.382872,1.263561,0.21,0.083703,-0.038902,10.76,0.00,0.00,-0.01
3/22/17,XPRO,5,4,48,-0.016045,0.120858,0.12419,0.382872,1.263561,0.05236,0.02517,-0.028067,3.93,1.00,0.00,0.068449
3/22/17,ADAP,7,2,17,-0.007143,0.120858,0.12419,0.382872,1.263561,0.065940937,0.168046,-0.020979,60.87,0.00,1.00,0.030953
3/22/17,IMUX,7,2,57,-0.0125,0.120858,0.12419,0.382872,1.263561,0.04025,0.213971,-0.058824,301.18,0.00,1.00,-0.0125
3/22/17,KEYS,10,1,31,0.014571,0.120858,0.12419,0.382872,1.263561,0.45999996,0.062456,-0.032347,18.11,0.00,0.00,0.048286
3/22/17,LJPC,7,1,35,0.039403,0.120858,0.12419,0.382872,1.263561,0.125000024,0.169661,-0.017883,2.30,0.00,1.00,0.00597
3/22/17,QUIK,10,1,22,0.113327,0.120858,0.12419,0.382872,1.263561,0.01725,0.127847,-0.166667,21.24,0.00,0.00,0.026666
3/22/17,LKSDQ,8,1,17,0.065185,0.120858,0.12419,0.382872,1.263561,0.145379246,0.189343,-0.027378,28.81,1.00,0.00,0.145185
3/23/17,MYL,7,4,48,0.007,0.383803,0.484839,0.585001,1.768588,1.76,0.082167,-0.038462,7.98,1.00,0.00,0.017
3/23/17,BLCM,7,1,17,0.075,0.383803,0.484839,0.585001,1.768588,0.069,0.155494,-0.069767,7.83,0.00,1.00,-0.071667
3/23/17,CHMI,9,1,48,-0.002424,0.383803,0.484839,0.585001,1.768588,0.0853875,0.37421,-0.025399,120.47,0.00,0.00,0.00606
3/23/17,HTBX,7,2,2,0.073322,0.383803,0.484839,0.585001,1.768588,0.0046,0.149271,-0.223301,3.37,0.00,1.00,-0.003701
3/23/17,MMSI,7,1,10,0.014159,0.383803,0.484839,0.585001,1.768588,0.14619375,0.091501,-0.045608,15.41,0.00,0.00,-0.014159
3/23/17,TNDM,7,1,56,-0.04,0.383803,0.484839,0.585001,1.768588,0.023125,0.366632,-0.193548,82.83,0.00,0.00,0.04
3/23/17,CDOR,9,1,40,-0.014286,0.383803,0.484839,0.585001,1.768588,0.05011125,0.380097,-0.067496,7377.52,0.00,0.00,-0.004762
3/27/17,EVH,7,3,35,0.0325,0.168208,0.510556,0.605471,1.848464,0.1725,0.110343,-0.058824,12.29,1.00,0.00,-0.005
3/27/17,STOR,9,2,31,0.017316,0.168208,0.510556,0.605471,1.848464,0.22978725,0.050859,-0.014925,6.25,0.00,0.00,0.033766
3/28/17,AVEO,7,2,56,0.1,0.240076,0.421947,0.651472,1.820471,0.01725,0.283385,-0.230769,83.57,0.00,1.00,0.04
3/28/17,CYRX,8,2,21,0.04,0.240076,0.421947,0.651472,1.820471,0.01265,0.238051,-0.466667,152.97,0.00,0.00,-0.035
3/28/17,ATH,6,1,31,0.018969,0.240076,0.421947,0.651472,1.820471,1.5338125,0.137255,-0.026495,72.20,1.00,0.00,0.009278
3/29/17,BPMC,7,1,31,0.04375,0.247902,0.488606,0.877404,2.077448,0.23,0.131146,-0.030068,11.52,0.00,1.00,-0.05325
3/29/17,CVE,5,3,58,-0.014167,0.247902,0.488606,0.877404,2.077448,2.25,0.183681,-0.082569,89.00,0.00,0.00,-0.045
3/29/17,ADYX,7,1,58,0.124998,0.247902,0.488606,0.877404,2.077448,0.0037893,0.201643,-0.360205,16.63,0.00,0.00,-0.04625
3/29/17,ATOS,7,1,2,0.057338,0.247902,0.488606,0.877404,2.077448,0.0043975,0.58478,-0.311927,38.10,0.00,1.00,-0.004001
3/30/17,ACIU,7,4,37,-0.066364,0.181534,0.218985,0.396789,1.947354,0.0209,0.033466,-0.066214,32.84,1.00,1.00,0.008182
3/30/17,CTSO,7,2,21,0.033333,0.181534,0.218985,0.396789,1.947354,0.011499998,0.080008,-0.181818,43.31,0.00,0.00,-0.033333
